Median House  Prices 4TH quarter 2021,,,,,,,,,,Change %,Change %
SUBURB,Oct - Dec 20,Jan - Mar 2021,Apr - Jun 2021,Jul-Aug 21,Oct - Dec 21,No of sales ,No of sales ,No of sales ,No of Sales ,Oct - Dec 20,Jul-Aug 21
,,,,,,Apr - Jun 2021,Jul- Sep 2021,Oct - Dec 2021,YTD,Oct - Dec 21,Oct - Dec 21
,,,,,,,,,,,
ABBOTSFORD,1230000,1370000,1470000,1107500,1340000,17,11,25,93,8.9,21
ABERFELDIE,1620000,1788000,1830000,1790000,2283000,11,8,18,68,40.9,27.5
AINTREE,687800,701500,695000,735000,742500,43,33,38,212,8,1
AIREYS INLET,1365000,1601000,1360000,1835000,2030000,5,8,7,38,48.7,10.6
AIRPORT WEST,830000,887500,955000,990000,1020000,43,30,35,180,22.9,3
ALBANVALE,577500,590000,615000,595000,620000,25,11,29,109,7.4,4.2
ALBERT PARK,2015000,2390000,2444000,2195000,2300000,36,34,55,186,14.1,4.8
ALBION,720000,760000,867500,944500,820000,10,2,19,48,13.9,-13.2
ALEXANDRA,455000,400000,416000,440000,545000,21,19,21,85,19.8,23.9
ALFREDTON,517800,585000,580000,656000,642500,67,57,78,357,24.1,-2.1
ALLANSFORD,425000,402500,348000,530000,540000,4,1,7,15,27.1,1.9
ALPHINGTON,2035000,1850000,2300000,2095000,2541500,13,8,24,67,24.9,21.3
ALTONA,900000,1115000,1075000,1205000,1262500,57,40,48,232,40.3,4.8
ALTONA EAST,920000,915500,950000,957500,1133300,13,8,12,62,23.2,18.4
ALTONA MEADOWS,680000,680800,700000,752500,730000,33,19,33,144,7.4,-3
ALTONA NORTH,830000,861100,994500,976000,1012500,40,27,52,205,22,3.7
ANGLESEA,1375000,1200000,1355000,1510000,1702500,27,15,32,126,23.8,12.7
APOLLO BAY,775000,892500,935000,845000,997500,10,7,13,64,28.7,18
ARARAT,243800,288000,260500,316000,350000,46,41,65,250,43.6,10.8
ARDEER,630000,681500,707500,750000,725000,9,6,16,57,15.1,-3.3
ARMADALE,2802500,2700000,2650000,2550000,2410000,25,21,45,144,-14,-5.5
ARMSTRONG CREEK,551000,605500,668800,685500,716500,86,78,74,420,30,4.5
ARTHURS SEAT,972500,972500,1525000,1215000,1600000,5,1,3,13,64.5,31.7
ASCOT (GREATER BENDIGO),472500,435300,545000,550000,660000,14,11,11,56,39.7,20
ASCOT VALE,1215000,1210000,1310000,1353000,1351000,56,34,69,240,11.2,-0.1
ASHBURTON,1655000,1777500,2000000,1852500,2250000,27,18,55,166,36,21.5
ASHWOOD,1271000,1350100,1434300,1465000,1490000,20,14,22,93,17.2,1.7
ASPENDALE,1095000,1150000,1250000,1362000,1450000,24,30,25,129,32.4,6.5
ASPENDALE GARDENS,970000,1070000,1110800,1140000,1200000,14,9,19,70,23.7,5.3
ATTWOOD,774800,1040000,940000,920000,1050000,11,14,17,59,35.5,14.1
AVENEL,395000,475000,428000,495000,485500,9,6,4,27,22.9,-1.9
AVOCA,313000,268000,345000,360000,396000,8,5,5,29,26.5,10
AVONDALE HEIGHTS,870000,900000,937500,1012500,1000000,56,35,67,243,14.9,-1.2
AVONSLEIGH,627500,751800,688300,890000,858000,4,1,6,17,36.7,-3.6
BACCHUS MARSH,518000,578500,596700,600000,580000,40,41,47,215,12,-3.3
BADGER CREEK,570000,631100,665000,690000,710000,5,5,7,33,24.6,2.9
BAIRNSDALE,315000,325000,350000,350000,400000,70,49,67,337,27,14.3
BALACLAVA,1272000,1700000,1515000,1512500,1546500,14,8,22,66,21.6,2.2
BALCOMBE,1385000,1479000,1673500,2070000,1935000,42,22,36,201,39.7,-6.5
BALLAN,500000,600000,590000,612500,614500,13,10,16,74,22.9,0.3
BALLARAT CENTRAL,577500,565000,710000,692000,870000,39,33,28,173,50.6,25.7
BALLARAT EAST,460000,437500,487500,501000,510000,40,53,41,219,10.9,1.8
BALLARAT NORTH,480000,547000,554900,550000,580000,29,17,25,115,20.8,5.5
BALNARRING,979500,1100000,1410000,1370000,1310500,9,7,12,57,33.8,-4.3
BALNARRING BEACH,1250000,1312000,2700000,1535000,3400000,1,6,3,26,172,121.5
BALWYN,2358000,2636500,2717500,2840000,2750000,68,38,62,267,16.6,-3.2
BALWYN NORTH,1850000,2065000,2156000,2379000,2407000,102,66,110,461,30.1,1.2
BANDIANA,570000,437500,427500,469000,464100,2,5,2,14,-18.6,-1
BANNOCKBURN,594000,620000,650000,710000,745000,27,13,23,103,25.4,4.9
BARANDUDA,436000,471400,472000,602500,538000,13,4,11,59,23.4,-10.7
BARNAWARTHA,320000,357000,390000,485000,332500,3,3,6,23,3.9,-31.4
BARWON HEADS,1400000,1395000,1857500,1525000,1780000,24,16,15,105,27.1,16.7
BAXTER,575000,590900,669400,730000,722000,8,16,13,59,25.6,-1.1
BAYSWATER,751000,850800,870000,897500,895000,52,32,44,199,19.2,-0.3
BAYSWATER NORTH,731000,830000,818000,894500,888000,31,10,29,132,21.5,-0.7
BEACONSFIELD,712000,862500,861500,860500,956500,30,16,34,154,34.3,11.2
BEACONSFIELD UPPER,890000,910000,827600,1137500,907700,9,4,2,20,2,-20.2
BEAUFORT,362500,348000,340000,517500,395000,7,6,12,51,9,-23.7
